4-character id, ALBH
begin date, 2015-01-01
end date, 2017-01-01
longitude, -123.487470777 E
latitude, 48.3897811345 N
units, meters**0 days**-1
date, north, east, vertical, north std. deviation, east std. deviation, vertical std. deviation
2015-01-01, -1.919866e-11, 1.516103e-10, -6.233325e-11, 2.244877e-09, 2.117100e-09, 2.801126e-09
2015-01-02, -4.193288e-11, 9.467740e-11, -4.019319e-11, 2.112392e-09, 1.981180e-09, 2.701327e-09
2015-01-03, -5.987666e-11, 3.491117e-11, -1.104753e-11, 1.983898e-09, 1.851293e-09, 2.597919e-09
2015-01-04, -6.876083e-11, -2.236687e-11, 2.126409e-11, 1.864634e-09, 1.734957e-09, 2.494374e-09
2015-01-05, -6.389351e-11, -7.260727e-11, 5.152524e-11, 1.762133e-09, 1.641855e-09, 2.394420e-09
2015-01-06, -4.226150e-11, -1.127665e-10, 7.414038e-11, 1.684439e-09, 1.579215e-09, 2.301856e-09
2015-01-07, -5.648699e-12, -1.975251e-11, 8.493746e-11, 1.635597e-09, 1.549722e-09, 2.220317e-09
2015-01-08, 3.895257e-11, -1.430097e-11, 8.298465e-11, 1.612409e-09, 1.539006e-09, 2.152856e-09
2015-01-09, 8.347499e-11, 5.493305e-12, 7.088251e-11, 1.606195e-09, 1.539094e-09, 2.101320e-09
2015-01-10, 1.226633e-10, -7.714541e-11, 5.291908e-11, 1.607394e-09, 1.538034e-09, 2.065726e-09
2015-01-11, 1.544311e-10, -2.187271e-11, 3.259134e-11, 1.608815e-09, 1.537283e-09, 2.044086e-09
2015-01-12, 1.784199e-10, 3.731668e-11, 1.144543e-11, 1.606471e-09, 1.531489e-09, 2.032936e-09
2015-01-13, 1.947719e-10, 9.414085e-11, -1.046079e-11, 1.599070e-09, 1.520921e-09, 2.028299e-09
2015-01-14, 2.036163e-10, 1.441045e-10, -3.344445e-11, 1.587213e-09, 1.507211e-09, 2.026594e-09
2015-01-15, 2.050688e-10, 1.838763e-10, -5.733017e-11, 1.572616e-09, 1.492563e-09, 2.025160e-09
2015-01-16, 1.098705e-10, 2.111102e-10, -8.115793e-11, 1.559202e-09, 1.479090e-09, 2.022404e-09
2015-01-17, 9.337082e-11, 2.245380e-10, -1.033939e-10, 1.545496e-09, 1.468291e-09, 2.017698e-09
2015-01-18, 7.145213e-11, 2.240729e-10, -1.224197e-10, 1.534683e-09, 1.460790e-09, 2.011162e-09
2015-01-19, 4.609310e-11, 2.108092e-10, -1.370661e-10, 1.527320e-09, 1.456375e-09, 2.003398e-09
2015-01-20, 1.988268e-11, 1.868591e-10, -1.469850e-10, 1.523161e-09, 1.454292e-09, 1.995243e-09
2015-01-21, -4.233341e-12, 1.549546e-10, -1.527085e-10, 1.521428e-09, 1.453624e-09, 1.987537e-09
2015-01-22, -2.328081e-11, 1.179272e-10, -1.553524e-10, 1.521170e-09, 1.453606e-09, 1.980947e-09
2015-01-23, -3.461002e-11, 7.856872e-11, -1.560930e-10, 1.521554e-09, 1.453776e-09, 1.975866e-09
2015-01-24, 5.579270e-11, 4.026504e-11, -1.556798e-10, 1.519700e-09, 1.453956e-09, 1.972384e-09
2015-01-25, 5.079247e-11, 7.618963e-12, -1.542306e-10, 1.520039e-09, 1.454133e-09, 1.970328e-09
2015-01-26, 5.422784e-11, -1.424548e-11, -1.513775e-10, 1.520247e-09, 1.454332e-09, 1.969353e-09
2015-01-27, 6.651618e-11, -2.137103e-11, -1.466234e-10, 1.520394e-09, 1.454541e-09, 1.969035e-09
2015-01-28, 8.668778e-11, -1.213021e-11, -1.396771e-10, 1.520534e-09, 1.454667e-09, 1.968965e-09
2015-01-29, 1.125304e-10, 1.271367e-11, -1.305854e-10, 1.520634e-09, 1.454528e-09, 1.968810e-09
2015-01-30, 1.409981e-10, 5.056839e-11, -1.196158e-10, 1.520558e-09, 1.453897e-09, 1.968342e-09
2015-01-31, 1.686170e-10, 9.765492e-11, -1.069711e-10, 1.520096e-09, 1.452559e-09, 1.967442e-09
2015-02-01, 1.917701e-10, 1.495095e-10, -9.247329e-11, 1.519034e-09, 1.450383e-09, 1.966088e-09
2015-02-02, 2.068958e-10, 2.013542e-10, -7.535785e-11, 1.517223e-09, 1.447364e-09, 1.964334e-09
2015-02-03, 2.106974e-10, 2.484386e-10, -5.426119e-11, 1.514630e-09, 1.443643e-09, 1.962281e-09
2015-02-04, 2.004429e-10, 2.864605e-10, -2.741122e-11, 1.511367e-09, 1.439484e-09, 1.960060e-09
2015-02-05, 1.743497e-10, 3.120888e-10, 7.043099e-12, 1.507672e-09, 1.435228e-09, 1.957813e-09
2015-02-06, 1.319142e-10, 3.234089e-10, 5.067747e-11, 1.503865e-09, 1.431240e-09, 1.955676e-09
2015-02-07, 7.395953e-11, 3.199088e-10, 1.045353e-10, 1.500286e-09, 1.427836e-09, 1.953770e-09
2015-02-08, 2.264264e-12, 3.018277e-10, 2.943281e-11, 1.497222e-09, 1.425221e-09, 1.953241e-09
2015-02-09, -8.103085e-11, 2.694734e-10, 1.058531e-10, 1.494852e-09, 1.423438e-09, 1.952026e-09
2015-02-10, -1.737873e-10, 2.233933e-10, 1.945808e-10, 1.493221e-09, 1.422377e-09, 1.951180e-09
2015-02-11, -2.737786e-10, 1.651696e-10, 4.236329e-10, 1.492250e-09, 1.421829e-09, 1.949611e-09
2015-02-12, -3.783903e-10, 9.777196e-11, 5.262015e-10, 1.491778e-09, 1.421565e-09, 1.949316e-09
2015-02-13, -4.844585e-10, 2.510341e-11, 6.352694e-10, 1.491609e-09, 1.421388e-09, 1.949121e-09
2015-02-14, -5.883272e-10, -4.878413e-11, 7.484268e-10, 1.491553e-09, 1.421155e-09, 1.948884e-09
2015-02-15, -6.860190e-10, -1.203246e-10, 8.623931e-10, 1.491449e-09, 1.420775e-09, 1.948476e-09
2015-02-16, -7.734337e-10, -1.867825e-10, 9.730582e-10, 1.491180e-09, 1.420202e-09, 1.947794e-09
2015-02-17, -8.465796e-10, -2.463705e-10, 1.075691e-09, 1.490678e-09, 1.419421e-09, 1.946780e-09
2015-02-18, -9.018664e-10, -2.982454e-10, 1.165261e-09, 1.489916e-09, 1.418435e-09, 1.945433e-09
2015-02-19, -9.364462e-10, -3.424465e-10, 1.236802e-09, 1.488904e-09, 1.417261e-09, 1.943814e-09
2015-02-20, -9.485324e-10, -3.797773e-10, 1.285738e-09, 1.487692e-09, 1.415935e-09, 1.942041e-09
2015-02-21, -9.375951e-10, -4.115756e-10, 1.308138e-09, 1.486362e-09, 1.414519e-09, 1.940280e-09
2015-02-22, -9.043592e-10, -4.393040e-10, 1.300866e-09, 1.485028e-09, 1.413105e-09, 1.938726e-09
2015-02-23, -8.505942e-10, -4.639781e-10, 1.261650e-09, 1.483825e-09, 1.411812e-09, 1.937569e-09
2015-02-24, -7.787723e-10, -4.856115e-10, 1.189130e-09, 1.482894e-09, 1.410772e-09, 1.936966e-09
2015-02-25, -6.917429e-10, -5.029684e-10, 1.082968e-09, 1.482357e-09, 1.410104e-09, 1.937004e-09
2015-02-26, -5.925768e-10, -5.137745e-10, 9.440404e-10, 1.482292e-09, 1.409885e-09, 1.937686e-09
2015-02-27, -4.846231e-10, -5.152300e-10, 7.746856e-10, 1.482709e-09, 1.410137e-09, 1.938916e-09
2015-02-28, -3.716457e-10, -5.045181e-10, 5.788408e-10, 1.483544e-09, 1.410819e-09, 1.940526e-09
2015-03-01, -2.578167e-10, -4.791476e-10, 3.619553e-10, 1.484671e-09, 1.411831e-09, 1.942298e-09
2015-03-02, -1.474353e-10, -4.371716e-10, 2.927625e-10, 1.485920e-09, 1.413034e-09, 1.945207e-09
2015-03-03, -4.443419e-11, -3.773739e-10, 6.573684e-11, 1.487117e-09, 1.414273e-09, 1.946661e-09
2015-03-04, 4.813493e-11, -2.994566e-10, -1.636700e-10, 1.488113e-09, 1.415412e-09, 1.947703e-09
2015-03-05, 1.284479e-10, -2.042042e-10, -3.883132e-10, 1.488819e-09, 1.416357e-09, 1.948267e-09
2015-03-06, 1.959948e-10, -9.358371e-11, -6.014604e-10, 1.489220e-09, 1.417076e-09, 1.948370e-09
2015-03-07, 2.514241e-10, 2.923976e-11, -7.970362e-10, 1.489382e-09, 1.417610e-09, 1.948120e-09
2015-03-08, 2.962399e-10, 1.599832e-10, -1.156843e-09, 1.489440e-09, 1.418058e-09, 1.946471e-09
2015-03-09, 3.324741e-10, 2.934234e-10, -1.297089e-09, 1.489569e-09, 1.418554e-09, 1.946094e-09
2015-03-10, 3.624409e-10, 4.236719e-10, -1.404957e-09, 1.489948e-09, 1.419237e-09, 1.946001e-09
2015-03-11, 3.886125e-10, 5.445396e-10, -1.478837e-09, 1.490718e-09, 1.420210e-09, 1.946403e-09
2015-03-12, 4.135600e-10, 6.499651e-10, -1.518355e-09, 1.491952e-09, 1.421519e-09, 1.947443e-09
2015-03-13, 4.398346e-10, 7.344618e-10, -1.524306e-09, 1.493639e-09, 1.423141e-09, 1.949169e-09
2015-03-14, 4.696808e-10, 7.935299e-10, -1.498530e-09, 1.495687e-09, 1.424993e-09, 1.951518e-09
2015-03-15, 5.045824e-10, 8.239874e-10, -1.443712e-09, 1.497950e-09, 1.426958e-09, 1.954331e-09
2015-03-16, 5.447697e-10, 8.241969e-10, -1.363155e-09, 1.500260e-09, 1.428913e-09, 1.957370e-09
2015-03-17, 5.888745e-10, 7.941973e-10, -1.260524e-09, 1.502454e-09, 1.430755e-09, 1.960359e-09
2015-03-18, 6.338691e-10, 4.750308e-10, -1.139610e-09, 1.504404e-09, 1.437677e-09, 1.963022e-09
2015-03-19, 6.753269e-10, 3.779307e-10, -1.004132e-09, 1.506024e-09, 1.439190e-09, 1.965117e-09
2015-03-20, 7.079391e-10, 2.700315e-10, -8.575810e-10, 1.507270e-09, 1.440489e-09, 1.966468e-09
2015-03-21, 7.261692e-10, 1.576967e-10, -7.031150e-10, 1.508137e-09, 1.441594e-09, 1.966988e-09
2015-03-22, 7.249141e-10, 4.738603e-11, -5.435127e-10, 1.508648e-09, 1.442529e-09, 1.966689e-09
2015-03-23, 7.000638e-10, -5.481940e-11, -3.811755e-10, 1.508846e-09, 1.443307e-09, 1.965684e-09
2015-03-24, 6.488889e-10, -1.436901e-10, -2.181727e-10, 1.508800e-09, 1.443933e-09, 1.964184e-09
2015-03-25, 5.702374e-10, -2.152670e-10, -5.631068e-11, 1.508597e-09, 1.444415e-09, 1.962465e-09
2015-03-26, 4.645749e-10, -1.301253e-10, 1.027964e-10, 1.508351e-09, 1.439376e-09, 1.960843e-09
2015-03-27, 3.339398e-10, -2.024762e-10, 2.576704e-10, 1.508191e-09, 1.439629e-09, 1.959619e-09
2015-03-28, 1.818913e-10, -2.567237e-10, 4.069277e-10, 1.508257e-09, 1.439887e-09, 1.959038e-09
2015-03-29, 1.347695e-11, -2.939135e-10, 5.492409e-10, 1.508668e-09, 1.440256e-09, 1.959241e-09
2015-03-30, -1.648221e-10, -3.161891e-10, 6.832894e-10, 1.509503e-09, 1.440842e-09, 1.960242e-09
