4-character id, ALBH
begin date, 2015-01-01
end date, 2017-01-01
longitude, -123.487470777 E
latitude, 48.3897811345 N
units, meters**0 days**-1
date, north, east, vertical, north std. deviation, east std. deviation, vertical std. deviation
2015-02-20, 1.880358e-10, 2.415812e-10, -1.189369e-09, 1.149331e-09, 1.103748e-09, 1.465063e-09
2015-02-21, 1.757168e-10, 2.593900e-10, -1.021647e-09, 1.148219e-09, 1.102624e-09, 1.463416e-09
2015-02-22, 1.637747e-10, 2.625427e-10, -8.456144e-10, 1.147080e-09, 1.101476e-09, 1.461883e-09
2015-02-23, 1.555724e-10, 2.540983e-10, -6.651488e-10, 1.146039e-09, 1.100419e-09, 1.460653e-09
2015-02-24, 1.538054e-10, 2.371390e-10, -4.829921e-10, 1.145218e-09, 1.099572e-09, 1.459879e-09
2015-02-25, 1.600195e-10, 2.142695e-10, -3.006015e-10, 1.144720e-09, 1.099032e-09, 1.459648e-09
2015-02-26, 1.743141e-10, 1.874852e-10, -1.182166e-10, 1.144598e-09, 1.098851e-09, 1.459966e-09
2015-02-27, 1.953353e-10, 1.582767e-10, 6.487613e-11, 1.144847e-09, 1.099023e-09, 1.460754e-09
2015-02-28, 2.205206e-10, 1.277011e-10, 2.499899e-10, 1.145399e-09, 1.099492e-09, 1.461869e-09
2015-03-01, 2.464524e-10, 9.629723e-11, 4.387227e-10, 1.146142e-09, 1.100164e-09, 1.463127e-09
2015-03-02, 2.691916e-10, 6.393479e-11, 4.192979e-10, 1.146938e-09, 1.100926e-09, 1.467109e-09
2015-03-03, 2.845615e-10, 2.973879e-11, 6.053820e-10, 1.147661e-09, 1.101665e-09, 1.468154e-09
2015-03-04, 2.884229e-10, -7.839669e-12, 8.032936e-10, 1.148214e-09, 1.102297e-09, 1.468897e-09
2015-03-05, 2.769902e-10, -5.081496e-11, 1.013943e-09, 1.148556e-09, 1.102776e-09, 1.469308e-09
2015-03-06, 2.471927e-10, -1.013655e-10, 1.237246e-09, 1.148698e-09, 1.103102e-09, 1.469422e-09
2015-03-07, 1.970486e-10, -1.614860e-10, 1.471817e-09, 1.148707e-09, 1.103321e-09, 1.469336e-09
2015-03-08, 1.259852e-10, -2.326341e-10, 1.960048e-09, 1.148684e-09, 1.103511e-09, 1.466398e-09
2015-03-09, 3.503109e-11, -3.154082e-10, 2.199310e-09, 1.148745e-09, 1.103760e-09, 1.466338e-09
2015-03-10, -7.318490e-11, -4.092938e-10, 2.432660e-09, 1.148991e-09, 1.104146e-09, 1.466504e-09
2015-03-11, -1.946466e-10, -5.125089e-10, 2.652206e-09, 1.149491e-09, 1.104718e-09, 1.467005e-09
2015-03-12, -3.243186e-10, -6.219646e-10, 2.848829e-09, 1.150262e-09, 1.105485e-09, 1.467897e-09
2015-03-13, -4.565544e-10, -7.333416e-10, 3.012839e-09, 1.151274e-09, 1.106413e-09, 1.469174e-09
2015-03-14, -5.854315e-10, -8.412733e-10, 3.134781e-09, 1.152456e-09, 1.107442e-09, 1.470768e-09
2015-03-15, -7.049746e-10, -9.396319e-10, 3.206246e-09, 1.153716e-09, 1.108502e-09, 1.472560e-09
2015-03-16, -8.093180e-10, -1.021925e-09, 3.220520e-09, 1.154966e-09, 1.109530e-09, 1.474401e-09
2015-03-17, -8.929011e-10, -1.081801e-09, 3.172980e-09, 1.156132e-09, 1.110487e-09, 1.476134e-09
2015-03-18, -9.507550e-10, -8.557540e-10, 3.061238e-09, 1.157170e-09, 1.117978e-09, 1.477617e-09
2015-03-19, -9.788738e-10, -8.418242e-10, 2.885074e-09, 1.158057e-09, 1.118831e-09, 1.478741e-09
2015-03-20, -9.745987e-10, -8.021821e-10, 2.646282e-09, 1.158787e-09, 1.119599e-09, 1.479440e-09
2015-03-21, -9.369228e-10, -7.366722e-10, 2.348511e-09, 1.159363e-09, 1.120295e-09, 1.479699e-09
2015-03-22, -8.666418e-10, -6.467061e-10, 1.997169e-09, 1.159786e-09, 1.120922e-09, 1.479553e-09
2015-03-23, -7.663128e-10, -5.352169e-10, 1.599429e-09, 1.160058e-09, 1.121469e-09, 1.479087e-09
2015-03-24, -6.400356e-10, -4.065037e-10, 1.164278e-09, 1.160188e-09, 1.121920e-09, 1.478427e-09
2015-03-25, -4.931066e-10, -2.659986e-10, 7.025422e-10, 1.160199e-09, 1.122260e-09, 1.477728e-09
2015-03-26, -3.316181e-10, -2.555137e-10, 2.267569e-10, 1.160139e-09, 1.115690e-09, 1.477155e-09
2015-03-27, -1.620788e-10, -7.044870e-11, -2.492279e-10, 1.160079e-09, 1.115803e-09, 1.476861e-09
2015-03-28, 8.897604e-12, 1.075247e-10, -7.109356e-10, 1.160110e-09, 1.115890e-09, 1.476956e-09
2015-03-29, 1.748302e-10, 2.702098e-10, -1.144182e-09, 1.160325e-09, 1.116032e-09, 1.477492e-09
2015-03-30, 3.295769e-10, 4.100521e-10, -1.536061e-09, 1.160791e-09, 1.116313e-09, 1.478444e-09
2015-03-31, 4.675622e-10, 5.206545e-10, -1.875798e-09, 1.161533e-09, 1.116787e-09, 1.479711e-09
2015-04-01, 5.840428e-10, 5.973082e-10, -2.155310e-09, 1.162510e-09, 1.117465e-09, 1.481129e-09
2015-04-02, 6.753678e-10, 6.374389e-10, -2.369399e-09, 1.163619e-09, 1.118298e-09, 1.482493e-09
2015-04-03, 7.391548e-10, 6.408520e-10, -2.515634e-09, 1.164703e-09, 1.119185e-09, 1.483591e-09
2015-04-04, 7.743238e-10, 6.097069e-10, -2.594013e-09, 1.165588e-09, 1.119989e-09, 1.484236e-09
2015-04-05, 7.809917e-10, 5.482270e-10, -2.606561e-09, 1.166112e-09, 1.120577e-09, 1.484300e-09
2015-04-06, 7.602859e-10, 4.622276e-10, -2.556986e-09, 1.166174e-09, 1.120848e-09, 1.483742e-09
2015-04-07, 7.141582e-10, 3.585757e-10, -2.450472e-09, 1.165754e-09, 1.120762e-09, 1.482615e-09
2015-04-08, 6.452640e-10, 2.446822e-10, -2.293631e-09, 1.164929e-09, 1.120359e-09, 1.481068e-09
2015-04-09, 5.569321e-10, 1.280781e-10, -2.094533e-09, 1.163861e-09, 1.119747e-09, 1.479323e-09
2015-04-10, 4.531982e-10, 1.607516e-11, -1.862740e-09, 1.162768e-09, 1.119087e-09, 1.477641e-09
2015-04-11, 3.388288e-10, -8.452622e-11, -1.609173e-09, 1.161880e-09, 1.118548e-09, 1.476275e-09
2015-04-12, 2.192403e-10, -1.677275e-10, -1.059248e-09, 1.161383e-09, 1.118276e-09, 1.478531e-09
2015-04-13, 1.002454e-10, -2.286429e-10, -7.835480e-10, 1.161382e-09, 1.118351e-09, 1.478284e-09
2015-04-14, -1.236616e-11, -2.638035e-10, -5.215235e-10, 1.161869e-09, 1.118775e-09, 1.478649e-09
2015-04-15, -1.133155e-10, -2.713927e-10, -2.840311e-10, 1.162733e-09, 1.119469e-09, 1.479496e-09
2015-04-16, -1.982523e-10, -2.513451e-10, -7.993774e-11, 1.163781e-09, 1.120296e-09, 1.480611e-09
2015-04-17, -2.639999e-10, -2.052781e-10, 8.434717e-11, 1.164789e-09, 1.121096e-09, 1.481731e-09
2015-04-18, -3.086067e-10, -1.362801e-10, 2.050391e-10, 1.165550e-09, 1.121721e-09, 1.482601e-09
2015-04-19, -3.312662e-10, -4.861218e-11, 2.808925e-10, 1.165913e-09, 1.122068e-09, 1.483015e-09
2015-04-20, -3.321903e-10, 5.261407e-11, 3.129511e-10, 1.165815e-09, 1.122095e-09, 1.482857e-09
2015-04-21, -3.125069e-10, 1.617417e-10, 3.042337e-10, 1.165281e-09, 1.121825e-09, 1.482109e-09
2015-04-22, -2.742021e-10, 2.728471e-10, 2.594247e-10, 1.164417e-09, 1.121332e-09, 1.480858e-09
2015-04-23, -2.200892e-10, 1.721063e-10, 1.846052e-10, 1.163379e-09, 1.127648e-09, 1.479268e-09
2015-04-24, -1.537590e-10, 2.367298e-10, 8.701260e-11, 1.162344e-09, 1.126964e-09, 1.477551e-09
2015-04-25, -7.946810e-11, 2.896526e-10, -2.521334e-11, 1.161466e-09, 1.126377e-09, 1.475928e-09
2015-04-26, -1.941432e-12, 3.277449e-10, -1.433481e-10, 1.160855e-09, 1.125956e-09, 1.474585e-09
2015-04-27, 7.390806e-11, 3.485657e-10, -2.584981e-10, 1.160552e-09, 1.125724e-09, 1.473647e-09
2015-04-28, 1.433129e-10, 3.504656e-10, -3.621088e-10, 1.160534e-09, 1.125660e-09, 1.473155e-09
2015-04-29, 2.019958e-10, 3.326424e-10, -6.261038e-10, 1.160724e-09, 1.125712e-09, 1.470191e-09
2015-04-30, 2.464832e-10, 2.951627e-10, -6.445423e-10, 1.161011e-09, 1.125810e-09, 1.470431e-09
2015-05-01, 2.743540e-10, 2.389708e-10, -6.317216e-10, 1.161278e-09, 1.125879e-09, 1.470817e-09
2015-05-02, 2.843993e-10, 1.658921e-10, -5.861169e-10, 1.161429e-09, 1.125860e-09, 1.471191e-09
2015-05-03, 2.766794e-10, 7.862299e-11, -5.083320e-10, 1.161398e-09, 1.125713e-09, 1.471412e-09
2015-05-04, 2.524648e-10, -1.931919e-11, -4.009829e-10, 1.161164e-09, 1.125428e-09, 1.471382e-09
2015-05-05, 2.140631e-10, -1.237108e-10, -2.684668e-10, 1.160745e-09, 1.125017e-09, 1.471057e-09
2015-05-06, 1.645498e-10, -2.298126e-10, -1.166594e-10, 1.160190e-09, 1.124517e-09, 1.470452e-09
2015-05-07, 1.074403e-10, -3.326256e-10, 4.742814e-11, 1.159565e-09, 1.123974e-09, 1.469624e-09
2015-05-08, 4.635905e-11, -3.002051e-10, 4.930466e-11, 1.158936e-09, 1.117495e-09, 1.471307e-09
2015-05-09, -1.524699e-11, -4.148235e-10, 1.882418e-10, 1.158360e-09, 1.117070e-09, 1.470280e-09
2015-05-10, -7.432762e-11, -5.090223e-10, 3.193955e-10, 1.157868e-09, 1.116703e-09, 1.469296e-09
2015-05-11, -1.283822e-10, -5.784294e-10, 4.351688e-10, 1.157469e-09, 1.116394e-09, 1.468412e-09
2015-05-12, -1.755642e-10, -6.199303e-10, 5.287547e-10, 1.157151e-09, 1.116126e-09, 1.467656e-09
2015-05-13, -2.147526e-10, -6.318094e-10, 5.945519e-10, 1.156891e-09, 1.115875e-09, 1.467026e-09
2015-05-14, -2.455890e-10, -6.138509e-10, 6.285141e-10, 1.156662e-09, 1.115618e-09, 1.466497e-09
2015-05-15, -2.684679e-10, -5.673996e-10, 6.283890e-10, 1.156446e-09, 1.115342e-09, 1.466033e-09
2015-05-16, -2.844614e-10, -4.953654e-10, 5.938192e-10, 1.156238e-09, 1.115048e-09, 1.465593e-09
2015-05-17, -2.951656e-10, -4.021395e-10, 5.262963e-10, 1.156043e-09, 1.114753e-09, 1.465146e-09
2015-05-18, -3.024779e-10, -2.933969e-10, 4.289850e-10, 1.155874e-09, 1.114483e-09, 1.464671e-09
