station        component      count          a[mm]          b[yr]          c[mm*yr^-0.5]  d[yr^-1]       likelihood     
P400           vertical       732            3.3686e+00     5.0000e-02     5.0000e-01     1.0000e-01     2.6026e+03     
P401           vertical       732            1.4969e+00     5.0000e-02     5.0000e-01     1.0000e-01     2.0197e+03     
P402           vertical       732            1.4700e+00     5.0000e-02     5.0000e-01     1.0000e-01     2.0903e+03     
P403           vertical       682            1.8165e+00     5.0000e-02     5.0000e-01     1.0000e-01     2.0807e+03     
P418           vertical       732            1.4563e+00     5.0000e-02     5.0000e-01     1.0000e-01     2.1153e+03     
P419           vertical       553            1.9615e+00     5.0000e-02     5.0000e-01     1.0000e-01     1.5107e+03     
P423           vertical       732            1.7869e+00     5.0000e-02     5.0000e-01     1.0000e-01     2.1862e+03     
P424           vertical       732            2.3756e+00     5.0000e-02     5.0000e-01     1.0000e-01     2.1482e+03     
P426           vertical       116            1.9238e+00     5.0000e-02     5.0000e-01     1.0000e-01     3.4170e+02     
P435           vertical       708            9.5064e-01     5.0000e-02     5.0000e-01     1.0000e-01     2.2628e+03     
P436           vertical       732            1.6290e+00     5.0000e-02     5.0000e-01     1.0000e-01     2.1483e+03     
P437           vertical       732            2.2825e+00     5.0000e-02     5.0000e-01     1.0000e-01     2.2090e+03     
P438           vertical       349            1.8722e+00     5.0000e-02     5.0000e-01     1.0000e-01     9.7171e+02     
P439           vertical       732            1.4347e+00     5.0000e-02     5.0000e-01     1.0000e-01     2.1082e+03     
P815           vertical       732            1.5604e+00     5.0000e-02     5.0000e-01     1.0000e-01     2.0313e+03     
P816           vertical       732            1.4281e+00     5.0000e-02     5.0000e-01     1.0000e-01     2.0606e+03     
PABH           vertical       732            1.4013e+00     5.0000e-02     5.0000e-01     1.0000e-01     2.0461e+03     
PCOL           vertical       732            2.7135e+00     5.0000e-02     5.0000e-01     1.0000e-01     2.3201e+03     
SC02           vertical       731            1.8128e+00     5.0000e-02     5.0000e-01     1.0000e-01     2.1020e+03     
SC03           vertical       732            2.7532e+00     5.0000e-02     5.0000e-01     1.0000e-01     2.1043e+03     
SEAT           vertical       732            2.2155e+00     5.0000e-02     5.0000e-01     1.0000e-01     2.1177e+03     
SEDR           vertical       732            2.1259e+00     5.0000e-02     5.0000e-01     1.0000e-01     2.2285e+03     
TWHL           vertical       624            1.8705e+00     5.0000e-02     5.0000e-01     1.0000e-01     1.8834e+03     
