4-character id, ALBH
begin date, 2015-10-01
end date, 2016-04-01
longitude, -123.487470777 E
latitude, 48.3897811345 N
units, meters**0 days**-1
date, north, east, vertical, north std. deviation, east std. deviation, vertical std. deviation
2015-11-20, 4.193946e-10, 1.213529e-10, -8.804946e-10, 5.916330e-10, 5.398028e-10, 8.345272e-10
2015-11-21, 4.429155e-10, 1.497716e-10, -7.840238e-10, 5.921005e-10, 5.398309e-10, 8.353727e-10
2015-11-22, 4.588838e-10, 1.709842e-10, -6.591602e-10, 5.926658e-10, 5.399557e-10, 8.363187e-10
2015-11-23, 4.667380e-10, 1.811569e-10, -5.098435e-10, 5.933257e-10, 5.402119e-10, 8.372676e-10
2015-11-24, 4.661481e-10, 1.774713e-10, -3.407218e-10, 5.940880e-10, 5.406451e-10, 8.381239e-10
2015-11-25, 4.564320e-10, 1.570149e-10, -1.569288e-10, 5.949289e-10, 5.412541e-10, 8.387963e-10
2015-11-26, 4.367507e-10, 1.171902e-10, 3.576826e-11, 5.957696e-10, 5.419587e-10, 8.392018e-10
2015-11-27, 4.069107e-10, 5.783138e-11, 2.308397e-10, 5.964851e-10, 5.426124e-10, 8.392756e-10
2015-11-28, 3.674869e-10, -1.770037e-11, 4.212345e-10, 5.969426e-10, 5.430533e-10, 8.389824e-10
2015-11-29, 3.194567e-10, -1.033927e-10, 5.998848e-10, 5.970485e-10, 5.431669e-10, 8.383272e-10
2015-11-30, 2.638403e-10, -1.924431e-10, 7.603478e-10, 5.967811e-10, 5.429292e-10, 8.373596e-10
2015-12-01, 2.015183e-10, -2.788237e-10, 8.974554e-10, 5.961903e-10, 5.424029e-10, 8.361696e-10
2015-12-02, 1.337624e-10, -3.575853e-10, 1.007616e-09, 5.953659e-10, 5.416874e-10, 8.348735e-10
2015-12-03, 6.269785e-11, -4.243672e-10, 1.088782e-09, 5.944160e-10, 5.408783e-10, 8.336004e-10
2015-12-04, -8.554602e-12, -4.747890e-10, 1.140352e-09, 5.934664e-10, 5.400603e-10, 8.324800e-10
2015-12-05, -7.623149e-11, -5.040402e-10, 1.162814e-09, 5.926668e-10, 5.393232e-10, 8.316328e-10
2015-12-06, -1.356356e-10, -5.077935e-10, 1.157096e-09, 5.921885e-10, 5.387840e-10, 8.311591e-10
2015-12-07, -1.811417e-10, -4.838000e-10, 1.124431e-09, 5.922002e-10, 5.385868e-10, 8.311268e-10
2015-12-08, -2.078008e-10, -4.325973e-10, 1.066209e-09, 5.928153e-10, 5.388562e-10, 8.315558e-10
2015-12-09, -2.119318e-10, -3.574402e-10, 9.835956e-10, 5.940384e-10, 5.396363e-10, 8.324045e-10
2015-12-10, -1.911510e-10, -2.635962e-10, 8.773496e-10, 5.957422e-10, 5.408591e-10, 8.335674e-10
2015-12-11, -1.443109e-10, -1.576121e-10, 7.475414e-10, 5.976766e-10, 5.423425e-10, 8.348856e-10
2015-12-12, -7.156354e-11, -4.651688e-11, 5.937466e-10, 5.995169e-10, 5.438255e-10, 8.361694e-10
2015-12-13, 2.552577e-11, 6.333186e-11, 4.155676e-10, 6.009335e-10, 5.450240e-10, 8.372293e-10
2015-12-14, 1.441141e-10, 1.670487e-10, 2.131540e-10, 6.016591e-10, 5.456766e-10, 8.379072e-10
