4-character id, ALBH
begin date, 2015-01-01
end date, 2017-01-01
longitude, -123.487470777 E
latitude, 48.3897811345 N
units, meters**0 days**-1
date, north, east, vertical, north std. deviation, east std. deviation, vertical std. deviation
2015-01-01, -6.668702e-11, 2.256667e-10, -5.796462e-10, 8.579405e-10, 7.864319e-10, 1.138710e-09
2015-01-02, -7.584068e-11, 2.421072e-10, -5.456109e-10, 7.979738e-10, 7.243618e-10, 1.107371e-09
2015-01-03, -8.932286e-11, 2.448448e-10, -5.001485e-10, 7.393611e-10, 6.656352e-10, 1.072637e-09
2015-01-04, -1.078763e-10, 2.324476e-10, -4.426626e-10, 6.843701e-10, 6.125725e-10, 1.035404e-09
2015-01-05, -1.321609e-10, 2.036098e-10, -3.730942e-10, 6.352517e-10, 5.673146e-10, 9.967853e-10
2015-01-06, -1.621962e-10, 1.584261e-10, -2.919800e-10, 5.940047e-10, 5.315317e-10, 9.580581e-10
2015-01-07, -1.965086e-10, 9.973362e-11, -2.004292e-10, 5.619923e-10, 5.059797e-10, 9.205892e-10
2015-01-08, -2.317620e-10, 3.315869e-11, -1.000246e-10, 5.395497e-10, 4.901234e-10, 8.857196e-10
2015-01-09, -2.636270e-10, -3.465396e-11, 7.330496e-12, 5.258074e-10, 4.821344e-10, 8.546249e-10
2015-01-10, -2.884196e-10, -9.817635e-11, 1.195893e-10, 5.188863e-10, 4.794006e-10, 8.281711e-10
2015-01-11, -3.041577e-10, -1.537777e-10, 2.347162e-10, 5.164137e-10, 4.792808e-10, 8.068052e-10
2015-01-12, -3.104479e-10, -1.991845e-10, 3.507728e-10, 5.161090e-10, 4.796838e-10, 7.905118e-10
2015-01-13, -3.077633e-10, -2.326664e-10, 4.659133e-10, 5.161921e-10, 4.792958e-10, 7.788557e-10
2015-01-14, -2.968098e-10, -2.526214e-10, 5.783192e-10, 5.155405e-10, 4.775404e-10, 7.710934e-10
2015-01-15, -2.782257e-10, -2.576200e-10, 6.861367e-10, 5.136571e-10, 4.744145e-10, 7.663227e-10
2015-01-16, -2.525522e-10, -2.467074e-10, 7.874608e-10, 5.105402e-10, 4.702893e-10, 7.636278e-10
2015-01-17, -2.203509e-10, -2.197624e-10, 8.803692e-10, 5.065195e-10, 4.657185e-10, 7.621942e-10
2015-01-18, -1.823780e-10, -1.777734e-10, 9.629838e-10, 5.020916e-10, 4.612721e-10, 7.613789e-10
2015-01-19, -1.397512e-10, -1.229477e-10, 1.033534e-09, 4.977752e-10, 4.574107e-10, 7.607360e-10
2015-01-20, -9.404946e-11, -5.861879e-11, 1.090413e-09, 4.939998e-10, 4.544133e-10, 7.600081e-10
2015-01-21, -4.729185e-11, 1.102513e-11, 1.132212e-09, 4.910395e-10, 4.523609e-10, 7.590932e-10
2015-01-22, -1.769910e-12, 8.131768e-11, 1.157755e-09, 4.889925e-10, 4.511702e-10, 7.579996e-10
2015-01-23, 4.022764e-11, 1.475113e-10, 1.166122e-09, 4.878027e-10, 4.506556e-10, 7.567983e-10
2015-01-24, 7.670366e-11, 2.051319e-10, 1.156670e-09, 4.873074e-10, 4.505961e-10, 7.555801e-10
2015-01-25, 1.061543e-10, 2.502685e-10, 1.129061e-09, 4.872941e-10, 4.507889e-10, 7.544231e-10
2015-01-26, 1.276344e-10, 2.798071e-10, 1.083284e-09, 4.875518e-10, 4.510794e-10, 7.533720e-10
2015-01-27, 1.407080e-10, 2.916148e-10, 1.019676e-09, 4.879057e-10, 4.513692e-10, 7.524320e-10
2015-01-28, 1.453445e-10, 2.846687e-10, 9.389307e-10, 4.882323e-10, 4.516051e-10, 7.515717e-10
2015-01-29, 1.418252e-10, 2.591124e-10, 8.420896e-10, 4.884578e-10, 4.517612e-10, 7.507354e-10
2015-01-30, 1.306967e-10, 2.162356e-10, 7.305271e-10, 4.885460e-10, 4.518202e-10, 7.498578e-10
2015-01-31, 1.127707e-10, 1.583798e-10, 6.059228e-10, 4.884827e-10, 4.517613e-10, 7.488807e-10
2015-02-01, 8.914521e-11, 8.878020e-11, 4.702373e-10, 4.882640e-10, 4.515584e-10, 7.477660e-10
2015-02-02, 6.120720e-11, 1.135473e-11, 3.256928e-10, 4.878912e-10, 4.511860e-10, 7.465049e-10
2015-02-03, 3.058407e-11, -6.954654e-11, 1.747635e-10, 4.873715e-10, 4.506296e-10, 7.451216e-10
2015-02-04, -9.677658e-13, -1.494166e-10, 2.016723e-11, 4.867229e-10, 4.498958e-10, 7.436713e-10
2015-02-05, -3.172125e-11, -2.238705e-10, -1.351525e-10, 4.859782e-10, 4.490184e-10, 7.422325e-10
2015-02-06, -6.014391e-11, -2.889043e-10, -2.880693e-10, 4.851862e-10, 4.480569e-10, 7.408957e-10
2015-02-07, -8.502226e-11, -3.411152e-10, -4.353538e-10, 4.844069e-10, 4.470877e-10, 7.397491e-10
2015-02-08, -1.055117e-10, -3.778751e-10, -5.737919e-10, 4.837028e-10, 4.461898e-10, 7.388647e-10
2015-02-09, -1.211097e-10, -3.974662e-10, -7.003287e-10, 4.831277e-10, 4.454292e-10, 7.382863e-10
2015-02-10, -1.315782e-10, -3.991803e-10, -8.122163e-10, 4.827162e-10, 4.448461e-10, 7.380215e-10
2015-02-11, -1.368545e-10, -3.833607e-10, -9.071392e-10, 4.824766e-10, 4.444490e-10, 7.380409e-10
2015-02-12, -1.369784e-10, -3.513598e-10, -9.832976e-10, 4.823886e-10, 4.442158e-10, 7.382820e-10
2015-02-13, -1.320501e-10, -3.054094e-10, -1.039442e-09, 4.824059e-10, 4.440999e-10, 7.386587e-10
2015-02-14, -1.222172e-10, -2.484282e-10, -1.074865e-09, 4.824641e-10, 4.440403e-10, 7.390748e-10
2015-02-15, -1.076836e-10, -1.837986e-10, -1.089353e-09, 4.824919e-10, 4.439729e-10, 7.394374e-10
2015-02-16, -8.872839e-11, -1.151309e-10, -1.083129e-09, 4.824242e-10, 4.438419e-10, 7.396697e-10
2015-02-17, -6.572586e-11, -4.603317e-11, -1.056778e-09, 4.822147e-10, 4.436091e-10, 7.397209e-10
2015-02-18, -3.915939e-11, 2.010335e-11, -1.011184e-09, 4.818446e-10, 4.432600e-10, 7.395723e-10
2015-02-19, -9.629053e-12, 8.028547e-11, -9.474670e-10, 4.813284e-10, 4.428062e-10, 7.392389e-10
2015-02-20, 2.214579e-11, 1.320562e-10, -8.669242e-10, 4.807117e-10, 4.422831e-10, 7.387657e-10
2015-02-21, 5.532633e-11, 1.735818e-10, -7.709736e-10, 4.800650e-10, 4.417444e-10, 7.382206e-10
2015-02-22, 8.895605e-11, 2.036853e-10, -6.610897e-10, 4.794715e-10, 4.412527e-10, 7.376836e-10
2015-02-23, 1.219676e-10, 2.218280e-10, -5.387382e-10, 4.790117e-10, 4.408689e-10, 7.372334e-10
2015-02-24, 1.531999e-10, 2.280463e-10, -4.053195e-10, 4.787484e-10, 4.406413e-10, 7.369351e-10
2015-02-25, 1.814279e-10, 2.228550e-10, -2.621415e-10, 4.787136e-10, 4.405960e-10, 7.368286e-10
2015-02-26, 2.054014e-10, 2.071376e-10, -1.104369e-10, 4.789020e-10, 4.407316e-10, 7.369233e-10
2015-02-27, 2.238824e-10, 1.820376e-10, 4.857570e-11, 4.792714e-10, 4.410180e-10, 7.371969e-10
2015-02-28, 2.356709e-10, 1.488538e-10, 2.136085e-10, 4.797520e-10, 4.414031e-10, 7.376022e-10
2015-03-01, 2.396235e-10, 1.089362e-10, 3.832248e-10, 4.802607e-10, 4.418229e-10, 7.380773e-10
2015-03-02, 2.346777e-10, 6.358594e-11, 5.557855e-10, 4.807176e-10, 4.422149e-10, 7.385583e-10
2015-03-03, 2.199001e-10, 1.397182e-11, 7.294245e-10, 4.810621e-10, 4.425306e-10, 7.389912e-10
2015-03-04, 1.945677e-10, -3.891672e-11, 9.020446e-10, 4.812625e-10, 4.427442e-10, 7.393412e-10
2015-03-05, 1.582790e-10, -9.427065e-11, 1.071324e-09, 4.813209e-10, 4.428566e-10, 7.395979e-10
2015-03-06, 1.110795e-10, -1.514179e-10, 1.234725e-09, 4.812711e-10, 4.428935e-10, 7.397758e-10
2015-03-07, 5.358045e-11, -2.097491e-10, 1.389511e-09, 4.811699e-10, 4.428987e-10, 7.399109e-10
2015-03-08, -1.295750e-11, -2.686308e-10, 1.532765e-09, 4.810861e-10, 4.429245e-10, 7.400534e-10
2015-03-09, -8.660323e-11, -3.273243e-10, 1.661427e-09, 4.810866e-10, 4.430208e-10, 7.402585e-10
